( Order ) Order ID,( Order Item ) Item ID,Tracking Number,Carrier Slug,Order Status
45679,,AS012019786CN,dhl-logistics,completed
45677,,AS012019389CN,dhl-logistics,completed
45674,,AS012019273CN,dhl-logistics,completed
45673,,AS012018967CN,dhl-logistics,completed
45672,,AS012019755CN,dhl-logistics,completed
45668,,AS012018905CN,dhl-logistics,completed
45663,,AS012019698CN,dhl-logistics,completed
45662,,AS012018848CN,dhl-logistics,completed
45661,,AS012019636CN,dhl-logistics,completed
45659,,AS012019579CN,dhl-logistics,completed
45656,,AS012019525CN,dhl-logistics,completed
45579,,AS012019450CN,dhl-logistics,completed
45576,,AS012018777CN,dhl-logistics,completed
45572,,AS012017670CN,dhl-logistics,completed
45570,,AS012018715CN,dhl-logistics,completed
45568,,AS012018644CN,dhl-logistics,completed
45567,,AS012018539CN,dhl-logistics,completed
45559,,AS012017493CN,dhl-logistics,completed
45556,,AS012018437CN,dhl-logistics,completed
45555,,AS012018335CN,dhl-logistics,completed
45554,,AS012017312CN,dhl-logistics,completed
45553,,AS012018233CN,dhl-logistics,completed
45551,,AS012018176CN,dhl-logistics,completed
45549,,AS012017122CN,dhl-logistics,completed
45548,,AS012019208CN,dhl-logistics,completed
45547,,AS012019137CN,dhl-logistics,completed
45539,,AS012018091CN,dhl-logistics,completed
45499,,AS012017992CN,dhl-logistics,completed
45497,,AS012017935CN,dhl-logistics,completed
45496,,AS012017927CN,dhl-logistics,completed
45487,,AS012017900CN,dhl-logistics,completed
45485,,AS012017895CN,dhl-logistics,completed
45484,,AS012017887CN,dhl-logistics,completed
45481,,AS012017873CN,dhl-logistics,completed
45477,,AS012017860CN,dhl-logistics,completed
45474,,AS012017856CN,dhl-logistics,completed
45473,,AS012017842CN,dhl-logistics,completed
45471,,AS012027164CN,dhl-logistics,completed
45469,,AS012017839CN,dhl-logistics,completed
45463,,AS012017825CN,dhl-logistics,completed
45459,,AS012019035CN,dhl-logistics,completed
45458,,AS012017771CN,dhl-logistics,completed
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
