Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gibson-custom-slash-les-paul-plain-top-electric-guitar-anaconda-burst-504,Gibson Custom Slash Les Paul Plain Top Electric Guitar - Anaconda Burst,"<div class=""tw-pt-2 tw-pb-6 lg:tw-pt-3 lg:tw-pb-10 lg:tw-pl-4 lg:tw-pr-3 lg:tw-body-plus-2 hide-scrollbar tw-overflow-hidden mce__content  product_detail__content""><div class=""tw-pt-2 tw-pb-6 lg:tw-pt-3 lg:tw-pb-10 lg:tw-pl-4 lg:tw-pr-3 lg:tw-body-plus-2 hide-scrollbar tw-overflow-hidden mce__content product_detail__content""><div class=""""><ul><li> Custom Shop Slash Les Paul with Plain top limited to only 250 worldwide </li><li> Lightweight mahogany body with single-cutaway profile</li><li> Two-piece maple top with striking green Anaconda Burst finish </li><li> Solid mahogany neck with unique Custom Slash Taper profile </li><li> Solid rosewood fingerboard with trapezoid position inlays </li><li> Seymour Duncan Slash Signature humbuckers produce sublime tones </li><li> Sprague Orange Drop capacitors guarantee seamless control over tone </li><li> Hardworking gig-ready hardware meticulously upholds tuning integrity, intonation and sustain </li><li> Includes Custom Shop brown/pink case to keep your pride and joy safe </li></ul><p>The Gibson Custom Slash Les Paul Plain Top Electric Guitar in Anaconda Burst is a beautifully crafted instrument, which was road-tested by the legend himself throughout his 2016 and 2017 tour. Limited to just 250 models worldwide, you'll have to move fast if you want to get your hands on one of these exclusive guitars.</p><h3> Classic Les Paul design </h3><p>Slash belting out legendary riffs on his Les Paul is one of the most iconic images in rock. The Gibson Custom Slash Les Paul takes on the customary tonewood single-customary body profile that we've all come to know and love. Lightweight mahogany establishes a firm and resounding midrange tonal foundation, infused with warm and a hearty sustain. Paired with this is a plain maple top, which is finished in a unique green Anaconda Burst paintwork that creates a striking visual aesthetic.</p><h3> Sturdy yet supple neck </h3><p>Connected to the body is a solid mahogany neck, which is fitted using a long tenon joint for improved sustain, and reinforced with a hide glue fit. The profile is shaped to Slash's custom taper, with a .910-inch depth at the 1st fret extending to a 1.05-inch depth at the 12th fret. The custom taper feels fast in the hand, and accommodates speedy solos to be executed with ease.</p><h3> Luxurious fingerboard </h3><p>Paired with the neck is a divine rosewood fingerboard, which is home to 22 frets that are adorned with trapezoid inlays to guide your way in style. The classic Les Paul single-cutaway opens up access to the highest frets, giving you free rein to let your fingers roam freely. Binding guarantees that seamless transition between frets are the norm, removing unwanted obstacles to maximise that lightning fast playing feel.</p><h3> Slash Signature Seymour Duncan pickups </h3><p>It is only fitting that the Gibson Custom Slash Les Paul be equipped with Slash's Signature Seymour Duncan APH-1 and APH-2 pickups. Since the recording of the seminal Guns N' Roses' album """"Appetite for Destruction"""", Slash has favoured the APH-1, with Seymour Duncan creating the APH-2 in its visage. The intensity of Slash's playing style is magnified when these pickups are cranked, but also retain a subtlety when rolled back during more intimate moments. Control over the pickups comes in the form of 500K CTS Volume and Tone pots, with hand-wired harness that feature Sprague Orange Drop capacitors, so that no matter how minor the attenuation, you have the smoothest of control with absolute precision. A Switchcraft toggle switch affords the same level of precision when changing between the bridge and neck pickups.</p><h3> Immaculate hardware </h3><p>The body is home to a nickel-finished lightweight aluminium ABR-1 bridge, which creates a seamless transition between strings and body to optimise intonation and sustain. Every inch of the Gibson Custom Slash Les Paul has been pored over to ensure it is completed to the highest possible standard. A brown/pink Custom Shop case is supplied with every model to guarantee that your pride and joy is well protected for many years to come.</p></div></div></div>",mysite,guitar,Gibson Guitars,TRUE,1,2,,,,,504-504-0-0,0,shopify,1000,continue,manual,39,0,TRUE,TRUE,,https://img.staticdj.com/e616c271cde2d4c8ecd46b54519e5e7e.jpeg,1,,FALSE,Gibson Custom Slash Les Paul Plain Top Electric Guitar - Anaconda Burst,Gibson Custom Slash Les Paul Plain Top Electric Guitar - Anaconda Burst,,,,,,,,,,,,,,,Kg,,,active
gibson-custom-slash-les-paul-plain-top-electric-guitar-anaconda-burst-504,,,,,,,,,,,,,,,,,,,,,,,,https://img.staticdj.com/328eee3843037949eb3bc302c2639124.jpeg,2,,,,,,,,,,,,,,,,,,,,,,
gibson-custom-slash-les-paul-plain-top-electric-guitar-anaconda-burst-504,,,,,,,,,,,,,,,,,,,,,,,,https://img.staticdj.com/861e6d2803c867139de3ae83276a7f78.jpeg,3,,,,,,,,,,,,,,,,,,,,,,
gibson-custom-slash-les-paul-plain-top-electric-guitar-anaconda-burst-504,,,,,,,,,,,,,,,,,,,,,,,,https://img.staticdj.com/7230fa798e51c6d88b5c1bc13e4d4dde.jpeg,4,,,,,,,,,,,,,,,,,,,,,,
gibson-custom-slash-les-paul-plain-top-electric-guitar-anaconda-burst-504,,,,,,,,,,,,,,,,,,,,,,,,https://img.staticdj.com/559edcfbe422dd1d75a9869fb7625f1a.jpeg,5,,,,,,,,,,,,,,,,,,,,,,
ibanez-jem77p-steve-vai-signature-guitar-blue-floral-pattern-777,Ibanez Jem77P Steve Vai Signature Guitar - Blue Floral Pattern,"<div class=""tw-pt-2 tw-pb-6 lg:tw-pt-3 lg:tw-pb-10 lg:tw-pl-4 lg:tw-pr-3 lg:tw-body-plus-2 hide-scrollbar tw-overflow-hidden mce__content  product_detail__content""><div class=""tw-pt-2 tw-pb-6 lg:tw-pt-3 lg:tw-pb-10 lg:tw-pl-4 lg:tw-pr-3 lg:tw-body-plus-2 hide-scrollbar tw-overflow-hidden mce__content product_detail__content""><div class=""""><ul> <li> American basswood body with stunning blue floral pattern finish</li> <li> Wizard 5-piece maple/walnut neck with KTS Titanium rods </li> <li> 24 jumbo-fret maple fingerboard with premium fret-edge treatment </li> <li> Unique """"Tree of Life"""" fingerboard inlay </li> <li> Powerful combination of DiMarzio Gravity Storm and Evolution pickups</li> <li> Signature model of legendary guitarist Steve Vai</li> <li> Excellent model for guitarists who want an instrument that facilitates advanced playing techniques</li> <li> Includes hardshell case to protect your Jem77P</li> </ul> <p> The Ibanez Jem77P Steve Vai signature guitar with incredible blue floral pattern sounds as breathtaking as it looks. Throughout their long-standing working relationship, both Ibanez and Vai have benefited from their fruitful collaborations, creating some truly stunning models along the way. With their latest incarnation of the Jem, this is one to be treasured and appreciated. </p> <h3> Body </h3> <p> Adhering to the classic body design - complete with unique """"monkey grip"""" to aid in performing flashy stage manoeuvres -, the sleek and slender Super-Strat body profile has been crafted using lightweight American Basswood. Thanks to the wood's character, it produces a delightfully balanced tonality that enables the full sonic spectrum to be manipulated with the greatest of ease. The """"Blue Floral Pattern"""" finish is mesmerising, with a translucent pickguard enabling to perfect artwork to be exhibited in all its glory. </p> <h3> Neck </h3> <p> Married to the body is a five-piece maple/walnut neck, which is shaped to the peerless Wizard profile. Ibanez know a thing or two about creating necks that are a joy to play, enabling you to tear along at lightning speeds. The neck has been reinforced with KTS Titanium rods so you can rest assured that string action is consistent no matter what. Paired with the neck is a maple fingerboard, which is home to 24-frets that are a guitarist's dream. Adorning the fingerboard is a divine """"Tree of Life"""" inlay, which traces the gorgeous body finish all the way up to the headstock. </p> <h3> Hardware </h3> <p> Fitted to the body is a responsive and easy to control Edge-Zero II locking tremolo bridge, so you can dive and wail to your heart's content, safe in the knowledge that the bridge will return to original position smoothly and swiftly. The chrome black hardware is understated, and complements the finish beautifully. </p> <h3> Electronics </h3> <p> The Jem77P is equipped with trio of DiMarzio pickups: Gravity Storm humbucking pickups in the neck and bridge positions, an Evolution single-coil pickup in the middle position. Between the three pickups you have a universe of tonal exploration ahead of you. Control couldn't be simpler, with a master volume and a master tone pot to shape and sculpt your output, as well as a 5-way pickup selector switch. </p> <p> The Jem has been turning heads since its introduction over 25 years ago, and with the Ibanez Jem77P Steve Vai Signature Guitar with Blue Floral Pattern they've done it again. Visually stunning, sonically brilliant, tonally diverse, and a joy to play. What more could any guitarist desire? Well as a welcome addition, Ibanez has included a hardshell case to protect your pride and joy. </p></div></div></div>",mysite,guitar,Ibanez Guitars,TRUE,1,2,,,,,777-777-0-0,0,shopify,1000,continue,manual,39,0,TRUE,TRUE,,https://img.staticdj.com/0cfd21d789de23367144a6a9f3e51c38.jpeg,1,,FALSE,Ibanez Jem77P Steve Vai Signature Guitar - Blue Floral Pattern,Ibanez Jem77P Steve Vai Signature Guitar - Blue Floral Pattern,,,,,,,,,,,,,,,Kg,,,active
ibanez-jem77p-steve-vai-signature-guitar-blue-floral-pattern-777,,,,,,,,,,,,,,,,,,,,,,,,https://img.staticdj.com/b77194a4ee79936be3965777b11e2d51.jpeg,2,,,,,,,,,,,,,,,,,,,,,,
ibanez-jem77p-steve-vai-signature-guitar-blue-floral-pattern-777,,,,,,,,,,,,,,,,,,,,,,,,https://img.staticdj.com/3bd56d4e0dc3b88bc878bfce8087a921.jpeg,3,,,,,,,,,,,,,,,,,,,,,,
ibanez-jem77p-steve-vai-signature-guitar-blue-floral-pattern-777,,,,,,,,,,,,,,,,,,,,,,,,https://img.staticdj.com/d44c63f602f920124b8719e4f5e24d86.jpeg,4,,,,,,,,,,,,,,,,,,,,,,
gibson-standard-historic-1958-les-paul-ice-tea-544,Gibson Standard Historic 1958 Les Paul - Ice Tea,"<div class=""tw-pt-2 tw-pb-6 lg:tw-pt-3 lg:tw-pb-10 lg:tw-pl-4 lg:tw-pr-3 lg:tw-body-plus-2 hide-scrollbar tw-overflow-hidden mce__content  product_detail__content""><div class=""tw-pt-2 tw-pb-6 lg:tw-pt-3 lg:tw-pb-10 lg:tw-pl-4 lg:tw-pr-3 lg:tw-body-plus-2 hide-scrollbar tw-overflow-hidden mce__content product_detail__content""><div class=""""><ul><li>Gibson Standard Historic 1958 Les Paul Standard in a gloss finish</li><li>Figured maple top takes on the finish of the guitar beautifully</li><li>Mahogany back and sides provides perfect sound combination for the maple top</li><li>Single-piece mahogany neck with classic '58 profile</li><li>Solid one-piece 22-fret fingerboard made from Indian rosewood</li><li>Fitted with best-ever PAF Custom Bucker pickups</li><li>ABR bridge with thumbwheels accompanied by lightweight stop bar tailpiece</li><li>Includes a Reissue Les Paul case in Brown / Pink and Gibson Custom Shop COA</li></ul><p>The Gibson Les Paul Standard of 1958 still remains one of the most widely sought after models in the world of guitars. Now the guys at Gibson Custom have brought it back with historically accurate appointments to give you a reincarnation that is as close to the original as possible. This was one of the first Gibson sunburst models which has since become legendary and this new version brings it right up to date.</p><h3>MAPLE AND MAHOGANY</h3><p>In 1958 when Gibson first designed the original Les Paul Standard guitars, they would all feature a two-piece maple body top, and the Standard Historic 1958 Les Paul Standard indeed has a two-piece figured maple top. Figured maple is instantly eye-catching due to its flame-like texture while it also contributes to producing that vintage, '58 sound of the original.</p><p>The top is accompanied by mahogany in the back and sides which makes for the perfect partnership with the figured maple top to produce a strong, resonant output as authentic as those models which were first released in the late 50s. This version is given the 1950s style Les Paul body contour with no weight relief for a historically correct feel.</p><h3>VINTAGE CORRECT NECK</h3><p>The Standard Historic 1958 Les Paul Standard is fitted with a single-piece mahogany neck with a comfortable 1950's style Les Paul profile. It is firmly joined to the body using hot hide-glue which was a constitutional element of the original guitars. The neck also has a historic long-tenon neck joint which enables the guitar to precisely convey its classic tone.</p><p>Aboard the neck is a solid, one-piece Indian rosewood fingerboard which assists the mahogany in providing an all-round Les Paul sound. With 22 frets at your service, you can work your way up and down the neck in confidence thanks to the cellulose Trapezoid inlays.</p><h3>CUSTOM BUCKER PICKUPS</h3><p>Gibson have employed Custom Bucker pickups in the electronics of the Standard Historic 1958 Les Paul Standard, and consider them to be their best replica of PAF pickups yet. The Custom Buckers achieve an output that is as close to the original sound of a '58 guitar as you can imagine. Each pickup is powered by Alnico III magnets which deliver you a mix of epic ringing or deep rumble depending on the sound output that you require.</p><p>To help you control the rhythm and lead pickups, the guitar is fitted with two Volume and two Tone pots with matched 500k potentiometers and encased with gold top hats.</p><h3>HARDWARE AND FINISH</h3><p>The Standard Historic 1958 Les Paul Standard has an ABR bridge with thumbwheels partnered with a lightweight aluminium stop bar tailpiece which enhances the overall intonation and sustain. At the top end of the guitar at the headstock we have reissue Kluson deluxe green keys made with nickel plated steel to uphold tuning integrity with accuracy.</p><p>Protecting the beautiful, hand-sprayed nitrocellulose finish on the body is a 1950's style cream pickguard which also really complements the guitar. The guitar also comes equipped with a reissue Les Paul case with a brown outer and pink fur lining to further protect this wonderful guitar.</p></div></div></div>",mysite,guitar,Gibson Guitars,TRUE,1,2,,,,,544-544-0-0,0,shopify,1000,continue,manual,39,0,TRUE,TRUE,,https://img.staticdj.com/0553481300f49443f3f68d82ccc50f15.jpeg,1,,FALSE,Gibson Standard Historic 1958 Les Paul - Ice Tea,Gibson Standard Historic 1958 Les Paul - Ice Tea,,,,,,,,,,,,,,,Kg,,,active
